0	0.010000
1500	0.310000
3000	0.560000
4500	0.805000
6000	1.160000
7500	1.395000
9000	1.815000
10500	2.035000
12000	2.360000
13500	2.620000
15000	3.020000
16500	3.370000
18000	3.665000
19500	4.000000
21000	4.320000
22500	4.640000
24000	4.955000
25500	5.295000
27000	5.520000
28500	5.785000
30000	6.140000
31500	6.455000
33000	6.765000
34500	7.100000
36000	7.585000
37500	7.770000
39000	8.090000
40500	8.455000
42000	8.710000
43500	9.165000
45000	9.630000
46500	9.820000
48000	10.155000
49500	10.640000
51000	10.805000
52500	11.180000
54000	11.435000
55500	11.815000
57000	12.150000
58500	12.330000
60000	12.865000
61500	13.265000
63000	13.425000
64500	13.840000
66000	14.210000
67500	14.560000
69000	15.045000
70500	15.455000
72000	15.705000
73500	15.985000
75000	16.325001
76500	16.760000
78000	17.110001
79500	17.334999
81000	17.735001
82500	18.115000
84000	18.389999
85500	18.834999
87000	19.245001
88500	19.570000
90000	20.014999
91500	20.290001
93000	20.645000
94500	20.990000
96000	21.285000
97500	21.715000
99000	22.020000
100500	22.344999
102000	22.795000
103500	23.285000
105000	23.580000
106500	24.020000
108000	24.445000
109500	24.750000
111000	24.950001
112500	25.240000
114000	25.610001
115500	25.905001
117000	26.295000
118500	26.655001
120000	27.049999
121500	27.365000
123000	27.790001
124500	28.155001
126000	28.520000
127500	28.834999
129000	29.200001
130500	29.459999
132000	29.905001
133500	30.245001
135000	30.715000
136500	31.084999
138000	31.445000
139500	31.870001
141000	32.235001
142500	32.634998
144000	32.994999
145500	33.325001
147000	33.660000
148500	34.029999
150000	34.779999
