0	0.000000
1500	0.235000
3000	0.400000
4500	0.575000
6000	0.885000
7500	1.015000
9000	1.615000
10500	1.390000
12000	2.045000
13500	1.925000
15000	2.120000
16500	2.350000
18000	2.970000
19500	2.745000
21000	3.010000
22500	3.255000
24000	3.840000
25500	3.685000
27000	3.950000
28500	4.170000
30000	4.540000
31500	4.955000
33000	5.120000
34500	5.025000
36000	5.490000
37500	5.515000
39000	6.035000
40500	5.925000
42000	6.590000
43500	6.810000
45000	7.000000
46500	6.845000
48000	7.150000
49500	7.530000
51000	7.860000
52500	7.875000
54000	8.535000
55500	8.690000
57000	8.745000
58500	8.985000
60000	9.340000
61500	9.485000
63000	9.800000
64500	10.270000
66000	10.535000
67500	10.730000
69000	11.010000
70500	11.190000
72000	11.340000
73500	11.520000
75000	11.950000
76500	12.065000
78000	12.510000
79500	12.690000
81000	12.685000
82500	12.875000
84000	13.375000
85500	13.450000
87000	13.820000
88500	14.040000
90000	14.205000
91500	14.390000
93000	14.610000
94500	14.915000
96000	15.265000
97500	15.675000
99000	15.795000
100500	16.225000
102000	16.075001
103500	16.465000
105000	16.799999
106500	16.895000
108000	17.299999
109500	17.254999
111000	17.620001
112500	17.889999
114000	18.025000
115500	18.434999
117000	18.780001
118500	18.955000
120000	19.235001
121500	19.100000
123000	19.575001
124500	19.889999
126000	20.245001
127500	20.405001
129000	20.450001
130500	20.790001
132000	20.945000
133500	21.275000
135000	21.475000
136500	21.860001
138000	21.980000
139500	22.254999
141000	22.450001
142500	22.940001
144000	22.955000
145500	23.260000
147000	23.540001
148500	23.855000
150000	23.975000
